kind,library,codegen,api,test_case,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
protobuf,google_protobuf,speed,SerializeToString,ten_strings_fifty_decimal_strings,3,1000000,1193,769241630.000,769.242,1299981.646,1193000000
protobuf,google_protobuf,speed,SerializeToString,ten_strings_fifty_decimal_strings,4,1000000,1193,794603793.000,794.604,1258488.833,1193000000
protobuf,google_protobuf,speed,SerializeToString,ten_strings_fifty_decimal_strings,5,1000000,1193,779468477.000,779.468,1282925.518,1193000000
protobuf,google_protobuf,speed,SerializeToString,ten_strings_fifty_decimal_strings,6,1000000,1193,775968888.000,775.969,1288711.462,1193000000
protobuf,google_protobuf,speed,SerializeToString,ten_strings_fifty_decimal_strings,7,1000000,1193,770456299.000,770.456,1297932.149,1193000000
protobuf,google_protobuf,speed,SerializeToString,ten_strings_fifty_decimal_strings,8,1000000,1193,799656863.000,799.657,1250536.382,1193000000
protobuf,google_protobuf,speed,SerializeToString,ten_strings_fifty_decimal_strings,9,1000000,1193,794224015.000,794.224,1259090.611,1193000000
protobuf,google_protobuf,speed,SerializeToString,ten_strings_fifty_decimal_strings,10,1000000,1193,798183306.000,798.183,1252845.045,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,1,1000000,1193,767646333.000,767.646,1302683.224,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,2,1000000,1193,759819364.000,759.819,1316102.283,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,3,1000000,1193,784347037.000,784.347,1274945.850,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,4,1000000,1193,777789811.000,777.790,1285694.394,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,5,1000000,1193,770525462.000,770.525,1297815.646,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,6,1000000,1193,767937377.000,767.937,1302189.514,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,7,1000000,1193,778431335.000,778.431,1284634.823,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,8,1000000,1193,770917647.000,770.918,1297155.415,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,9,1000000,1193,772699912.000,772.700,1294163.471,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,10,1000000,1193,771850327.000,771.850,1295587.972,1193000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,1,1000000,49,1161746195.000,1161.746,860773.209,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,2,1000000,49,1163689497.000,1163.689,859335.761,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,3,1000000,49,1158660537.000,1158.661,863065.555,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,4,1000000,49,1165855441.000,1165.855,857739.274,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,5,1000000,49,1157473756.000,1157.474,863950.474,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,6,1000000,49,1156092811.000,1156.093,864982.457,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,7,1000000,49,1159287379.000,1159.287,862598.885,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,8,1000000,49,1163768551.000,1163.769,859277.387,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,9,1000000,49,1160211452.000,1160.211,861911.851,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,10,1000000,49,1159575866.000,1159.576,862384.281,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,1,1000000,49,1159159700.000,1159.160,862693.898,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,2,1000000,49,1157211219.000,1157.211,864146.479,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,3,1000000,49,1157837118.000,1157.837,863679.342,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,4,1000000,49,1161390476.000,1161.390,861036.853,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,5,1000000,49,1161144000.000,1161.144,861219.625,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,6,1000000,49,1153133517.000,1153.134,867202.267,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,7,1000000,49,1157274982.000,1157.275,864098.866,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,8,1000000,49,1166594417.000,1166.594,857195.942,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,9,1000000,49,1158360688.000,1158.361,863288.965,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,10,1000000,49,1154179371.000,1154.179,866416.456,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_decimal_strings,1,1000000,213,1414072720.000,1414.073,707177.209,213000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_decimal_strings,2,1000000,213,1413382045.000,1413.382,707522.784,213000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_decimal_strings,3,1000000,213,1415447094.000,1415.447,706490.553,213000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_decimal_strings,4,1000000,213,1413569738.000,1413.570,707428.840,213000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_decimal_strings,5,1000000,213,1414094278.000,1414.094,707166.428,213000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_decimal_strings,6,1000000,213,1417093780.000,1417.094,705669.599,213000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_decimal_strings,7,1000000,213,1415244271.000,1415.244,706591.802,213000000
