mode,threads,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
thread_local,1,1,1000000,49,52838490.000,52.838,18925597.609,49000000
thread_local,1,2,1000000,49,60339654.000,60.340,16572849.423,49000000
thread_local,1,3,1000000,49,61195984.000,61.196,16340941.589,49000000
thread_local,1,4,1000000,49,60263457.000,60.263,16593804.103,49000000
thread_local,1,5,1000000,49,60568836.000,60.569,16510140.627,49000000
thread_local,1,6,1000000,49,60832698.000,60.833,16438527.846,49000000
thread_local,1,7,1000000,49,60424844.000,60.425,16549484.182,49000000
thread_local,1,8,1000000,49,60527724.000,60.528,16521354.743,49000000
thread_local,1,9,1000000,49,61527059.000,61.527,16253011.541,49000000
thread_local,1,10,1000000,49,60459495.000,60.459,16539999.218,49000000
