kind,path,test_case,repetition,iterations,bytes,p50_ns,p90_ns,p99_ns,p99_9_ns,p99_99_ns,max_ns,mean_ns,allocations,allocated_bytes,checksum
protobuf,serialize_array_reuse,one_string_ten_decimal_strings,5,1000000,213,176,182,188,249,6295,13020,177.286,0,0,213000000
protobuf,serialize_array_reuse,one_string_ten_decimal_strings,6,1000000,213,175,180,184,237,6071,14855,176.637,0,0,213000000
protobuf,serialize_array_reuse,one_string_ten_decimal_strings,7,1000000,213,177,180,188,270,6353,39946,177.983,0,0,213000000
protobuf,serialize_array_reuse,one_string_ten_decimal_strings,8,1000000,213,177,181,187,253,6404,216897,178.339,0,0,213000000
protobuf,serialize_array_reuse,one_string_ten_decimal_strings,9,1000000,213,177,182,261,325,6566,23206,180.951,0,0,213000000
protobuf,serialize_array_reuse,one_string_ten_decimal_strings,10,1000000,213,176,180,186,246,6332,59359,176.997,0,0,213000000
protobuf,serialize_array_fresh_buffer,one_string_ten_decimal_strings,1,1000000,213,186,191,196,303,6227,29071,187.953,1000000,213000000,213000000
protobuf,serialize_array_fresh_buffer,one_string_ten_decimal_strings,2,1000000,213,186,192,198,302,6293,27996,188.355,1000000,213000000,213000000
protobuf,serialize_array_fresh_buffer,one_string_ten_decimal_strings,3,1000000,213,186,192,196,301,6287,93666,188.162,1000000,213000000,213000000
protobuf,serialize_array_fresh_buffer,one_string_ten_decimal_strings,4,1000000,213,185,191,197,303,6299,14255,186.974,1000000,213000000,213000000
protobuf,serialize_array_fresh_buffer,one_string_ten_decimal_strings,5,1000000,213,186,192,201,305,6217,30505,187.578,1000000,213000000,213000000
protobuf,serialize_array_fresh_buffer,one_string_ten_decimal_strings,6,1000000,213,186,192,197,301,6195,14646,187.913,1000000,213000000,213000000
protobuf,serialize_array_fresh_buffer,one_string_ten_decimal_strings,7,1000000,213,185,192,199,302,6264,25106,187.426,1000000,213000000,213000000
protobuf,serialize_array_fresh_buffer,one_string_ten_decimal_strings,8,1000000,213,186,192,198,306,6249,22936,187.704,1000000,213000000,213000000
protobuf,serialize_array_fresh_buffer,one_string_ten_decimal_strings,9,1000000,213,187,192,198,301,6129,19743,188.297,1000000,213000000,213000000
protobuf,serialize_array_fresh_buffer,one_string_ten_decimal_strings,10,1000000,213,186,192,196,300,6146,24310,187.761,1000000,213000000,213000000
protobuf,serialize_string_reserved,one_string_ten_decimal_strings,1,1000000,213,182,187,220,311,6778,38553,184.376,0,0,213000000
protobuf,serialize_string_reserved,one_string_ten_decimal_strings,2,1000000,213,181,187,193,250,6140,15383,182.174,0,0,213000000
protobuf,serialize_string_reserved,one_string_ten_decimal_strings,3,1000000,213,182,187,193,258,6342,24167,183.31,0,0,213000000
protobuf,serialize_string_reserved,one_string_ten_decimal_strings,4,1000000,213,184,190,195,248,6186,13354,185.285,0,0,213000000
protobuf,serialize_string_reserved,one_string_ten_decimal_strings,5,1000000,213,180,187,194,286,6465,75845,182.266,0,0,213000000
protobuf,serialize_string_reserved,one_string_ten_decimal_strings,6,1000000,213,184,189,196,251,6260,14230,185.441,0,0,213000000
protobuf,serialize_string_reserved,one_string_ten_decimal_strings,7,1000000,213,183,188,198,317,6629,56420,185.979,0,0,213000000
protobuf,serialize_string_reserved,one_string_ten_decimal_strings,8,1000000,213,181,187,201,452,13538,30288,188.067,0,0,213000000
protobuf,serialize_string_reserved,one_string_ten_decimal_strings,9,1000000,213,182,186,192,250,6242,21229,183.285,0,0,213000000
protobuf,serialize_string_reserved,one_string_ten_decimal_strings,10,1000000,213,183,189,200,293,6691,55765,185.481,0,0,213000000
protobuf,serialize_array_arena_message,one_string_ten_decimal_strings,1,1000000,213,176,181,184,240,6228,26395,177.291,0,0,213000000
protobuf,serialize_array_arena_message,one_string_ten_decimal_strings,2,1000000,213,176,182,186,245,6282,54062,177.465,0,0,213000000
protobuf,serialize_array_arena_message,one_string_ten_decimal_strings,3,1000000,213,178,184,192,242,6306,13350,179.564,0,0,213000000
protobuf,serialize_array_arena_message,one_string_ten_decimal_strings,4,1000000,213,177,180,184,264,6218,25531,177.497,0,0,213000000
protobuf,serialize_array_arena_message,one_string_ten_decimal_strings,5,1000000,213,175,181,187,240,6248,36747,176.452,0,0,213000000
protobuf,serialize_array_arena_message,one_string_ten_decimal_strings,6,1000000,213,176,180,187,244,6154,19828,176.869,0,0,213000000
protobuf,serialize_array_arena_message,one_string_ten_decimal_strings,7,1000000,213,176,180,186,253,6332,20664,177.361,0,0,213000000
protobuf,serialize_array_arena_message,one_string_ten_decimal_strings,8,1000000,213,177,181,187,242,6280,24790,178.403,0,0,213000000
protobuf,serialize_array_arena_message,one_string_ten_decimal_strings,9,1000000,213,176,180,188,259,6311,43224,177.527,0,0,213000000
protobuf,serialize_array_arena_message,one_string_ten_decimal_strings,10,1000000,213,177,181,184,240,6332,14677,178.302,0,0,213000000
protobuf,serialize_array_reuse,ten_strings_fifty_decimal_strings,1,1000000,1193,920,949,968,6511,11184,66833,927.673,0,0,1193000000
protobuf,serialize_array_reuse,ten_strings_fifty_decimal_strings,2,1000000,1193,920,953,997,5646,10309,72869,928.739,0,0,1193000000
protobuf,serialize_array_reuse,ten_strings_fifty_decimal_strings,3,1000000,1193,930,956,984,6554,11084,69344,938.462,0,0,1193000000
protobuf,serialize_array_reuse,ten_strings_fifty_decimal_strings,4,1000000,1193,915,946,984,3376,8881,63352,923.24,0,0,1193000000
protobuf,serialize_array_reuse,ten_strings_fifty_decimal_strings,5,1000000,1193,921,946,971,4901,8610,28925,928.532,0,0,1193000000
protobuf,serialize_array_reuse,ten_strings_fifty_decimal_strings,6,1000000,1193,921,953,983,4834,9011,70468,928.309,0,0,1193000000
protobuf,serialize_array_reuse,ten_strings_fifty_decimal_strings,7,1000000,1193,920,947,980,3467,8016,74778,925.408,0,0,1193000000
protobuf,serialize_array_reuse,ten_strings_fifty_decimal_strings,8,1000000,1193,927,956,981,3115,9152,51156,930.708,0,0,1193000000
protobuf,serialize_array_reuse,ten_strings_fifty_decimal_strings,9,1000000,1193,928,954,984,6103,10131,60135,931.769,0,0,1193000000
protobuf,serialize_array_reuse,ten_strings_fifty_decimal_strings,10,1000000,1193,930,957,982,3062,8030,55464,937.492,0,0,1193000000
protobuf,serialize_array_fresh_buffer,ten_strings_fifty_decimal_strings,1,1000000,1193,985,1011,1043,6460,7913,65909,989.574,1000000,1193000000,1193000000
protobuf,serialize_array_fresh_buffer,ten_strings_fifty_decimal_strings,2,1000000,1193,990,1018,1056,6520,8059,69509,998.451,1000000,1193000000,1193000000
protobuf,serialize_array_fresh_buffer,ten_strings_fifty_decimal_strings,3,1000000,1193,975,1003,1042,6330,8203,54761,980.517,1000000,1193000000,1193000000
protobuf,serialize_array_fresh_buffer,ten_strings_fifty_decimal_strings,4,1000000,1193,992,1013,1123,6582,9627,66220,997.741,1000000,1193000000,1193000000
protobuf,serialize_array_fresh_buffer,ten_strings_fifty_decimal_strings,5,1000000,1193,986,1009,1055,6533,8168,40430,990.697,1000000,1193000000,1193000000
protobuf,serialize_array_fresh_buffer,ten_strings_fifty_decimal_strings,6,1000000,1193,990,1017,1068,6791,10395,70747,997.225,1000000,1193000000,1193000000
protobuf,serialize_array_fresh_buffer,ten_strings_fifty_decimal_strings,7,1000000,1193,979,995,1028,6323,7896,77749,981.255,1000000,1193000000,1193000000
protobuf,serialize_array_fresh_buffer,ten_strings_fifty_decimal_strings,8,1000000,1193,982,1001,1037,6472,8046,28815,985.224,1000000,1193000000,1193000000
protobuf,serialize_array_fresh_buffer,ten_strings_fifty_decimal_strings,9,1000000,1193,978,1006,1063,6903,17483,66639,990.267,1000000,1193000000,1193000000
protobuf,serialize_array_fresh_buffer,ten_strings_fifty_decimal_strings,10,1000000,1193,980,1009,1063,6510,9893,41191,985.55,1000000,1193000000,1193000000
protobuf,serialize_string_reserved,ten_strings_fifty_decimal_strings,1,1000000,1193,936,963,996,3103,8281,80772,940.011,0,0,1193000000
protobuf,serialize_string_reserved,ten_strings_fifty_decimal_strings,2,1000000,1193,930,958,988,3356,8826,69245,935.014,0,0,1193000000
protobuf,serialize_string_reserved,ten_strings_fifty_decimal_strings,3,1000000,1193,937,963,1004,6611,11414,52089,942.897,0,0,1193000000
protobuf,serialize_string_reserved,ten_strings_fifty_decimal_strings,4,1000000,1193,941,968,999,6468,10113,349074,948.392,0,0,1193000000
protobuf,serialize_string_reserved,ten_strings_fifty_decimal_strings,5,1000000,1193,936,960,988,4539,8234,57147,939.861,0,0,1193000000
protobuf,serialize_string_reserved,ten_strings_fifty_decimal_strings,6,1000000,1193,939,961,989,3293,8708,70777,942.365,0,0,1193000000
protobuf,serialize_string_reserved,ten_strings_fifty_decimal_strings,7,1000000,1193,928,955,987,3068,9094,52593,930.959,0,0,1193000000
protobuf,serialize_string_reserved,ten_strings_fifty_decimal_strings,8,1000000,1193,939,965,993,2962,8129,65642,944.263,0,0,1193000000
protobuf,serialize_string_reserved,ten_strings_fifty_decimal_strings,9,1000000,1193,939,964,996,6339,8554,56896,942.39,0,0,1193000000
protobuf,serialize_string_reserved,ten_strings_fifty_decimal_strings,10,1000000,1193,938,965,997,3002,7913,32846,943.764,0,0,1193000000
protobuf,serialize_array_arena_message,ten_strings_fifty_decimal_strings,1,1000000,1193,919,945,969,2962,8080,78118,922.673,0,0,1193000000
protobuf,serialize_array_arena_message,ten_strings_fifty_decimal_strings,2,1000000,1193,924,949,970,2992,9066,78777,926.867,0,0,1193000000
protobuf,serialize_array_arena_message,ten_strings_fifty_decimal_strings,3,1000000,1193,924,951,972,3827,9996,53685,928.918,0,0,1193000000
protobuf,serialize_array_arena_message,ten_strings_fifty_decimal_strings,4,1000000,1193,919,947,976,3027,8521,86941,927.348,0,0,1193000000
protobuf,serialize_array_arena_message,ten_strings_fifty_decimal_strings,5,1000000,1193,934,960,985,3129,8123,25239,939.05,0,0,1193000000
protobuf,serialize_array_arena_message,ten_strings_fifty_decimal_strings,6,1000000,1193,931,945,968,2945,8070,70965,931.813,0,0,1193000000
protobuf,serialize_array_arena_message,ten_strings_fifty_decimal_strings,7,1000000,1193,928,961,997,3055,7940,53609,934.042,0,0,1193000000
protobuf,serialize_array_arena_message,ten_strings_fifty_decimal_strings,8,1000000,1193,935,961,985,3293,9436,79417,938.943,0,0,1193000000
protobuf,serialize_array_arena_message,ten_strings_fifty_decimal_strings,9,1000000,1193,922,955,991,4145,9248,75167,930.692,0,0,1193000000
protobuf,serialize_array_arena_message,ten_strings_fifty_decimal_strings,10,1000000,1193,915,944,966,2896,8242,53168,921.58,0,0,1193000000
