mode,threads,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
shared_buffer_mutex,2,1,1000000,49,381947031.000,381.947,2618164.088,49000000
shared_buffer_mutex,2,2,1000000,49,385028971.000,385.029,2597207.159,49000000
shared_buffer_mutex,2,3,1000000,49,396234070.000,396.234,2523760.766,49000000
shared_buffer_mutex,2,4,1000000,49,389791343.000,389.791,2565475.139,49000000
shared_buffer_mutex,2,5,1000000,49,397501685.000,397.502,2515712.606,49000000
shared_buffer_mutex,2,6,1000000,49,394514021.000,394.514,2534764.157,49000000
shared_buffer_mutex,2,7,1000000,49,375791342.000,375.791,2661051.196,49000000
shared_buffer_mutex,2,8,1000000,49,397454937.000,397.455,2516008.500,49000000
shared_buffer_mutex,2,9,1000000,49,395581745.000,395.582,2527922.516,49000000
shared_buffer_mutex,2,10,1000000,49,384572810.000,384.573,2600287.836,49000000
