mode,test_case,repetition,iterations,completed,dropped,payload_bytes,hot_elapsed_ns,worker_wall_ns,hot_mean_ns,hot_p50_ns,hot_p99_ns,worker_mean_ns,worker_p50_ns,worker_p99_ns,checksum
async_handoff,one_string_ten_int64,5,1000000,1000000,0,55,88625996,88626205,52.726,42,84,19.795,0,42,0
async_handoff,one_string_ten_decimal_strings,5,1000000,1000000,0,219,119909282,119909407,68.866,83,84,20.112,0,42,0
async_handoff,ten_strings_fifty_decimal_strings,5,1000000,1000000,0,1199,118532216,118532340,67.840,83,84,19.913,0,42,0
async_handoff,one_string_ten_int64,6,1000000,1000000,0,55,86488538,86488621,51.011,42,84,19.817,0,42,0
async_handoff,one_string_ten_decimal_strings,6,1000000,1000000,0,219,119802052,119802136,68.493,83,84,20.030,0,42,0
async_handoff,ten_strings_fifty_decimal_strings,6,1000000,1000000,0,1199,122221331,122221414,69.501,83,84,19.797,0,42,0
async_handoff,one_string_ten_int64,7,1000000,1000000,0,55,89013629,89013670,54.458,42,84,19.808,0,42,0
async_handoff,one_string_ten_decimal_strings,7,1000000,1000000,0,219,122243952,122243993,69.379,83,84,19.900,0,42,0
async_handoff,ten_strings_fifty_decimal_strings,7,1000000,1000000,0,1199,120239259,120239300,67.936,83,84,20.414,0,42,0
async_handoff,one_string_ten_int64,8,1000000,1000000,0,55,82319599,82393710,47.155,42,84,19.991,0,42,0
async_handoff,one_string_ten_decimal_strings,8,1000000,1000000,0,219,116774684,116774725,67.102,83,84,19.964,0,42,0
async_handoff,ten_strings_fifty_decimal_strings,8,1000000,1000000,0,1199,120572069,120572152,69.167,83,84,19.947,0,42,0
async_handoff,one_string_ten_int64,9,1000000,1000000,0,55,81725048,81730089,46.685,42,84,19.801,0,42,0
async_handoff,one_string_ten_decimal_strings,9,1000000,1000000,0,219,119613672,119613798,68.458,83,84,19.852,0,42,0
async_handoff,ten_strings_fifty_decimal_strings,9,1000000,1000000,0,1199,118924265,118924348,68.001,83,84,19.940,0,42,0
async_handoff,one_string_ten_int64,10,1000000,1000000,0,55,86422218,86422342,51.107,42,84,19.895,0,42,0
async_handoff,one_string_ten_decimal_strings,10,1000000,1000000,0,219,119141722,119141848,68.625,83,84,20.071,0,42,0
async_handoff,ten_strings_fifty_decimal_strings,10,1000000,1000000,0,1199,122727816,122727858,69.660,83,84,19.965,0,42,0
async_protobuf,one_string_ten_int64,1,1000000,1000000,0,55,55970020,161946348,30.242,41,83,128.782,125,167,55000000
async_protobuf,one_string_ten_decimal_strings,1,1000000,1000000,0,219,53077625,290258367,25.971,41,42,260.225,250,292,219000000
async_protobuf,ten_strings_fifty_decimal_strings,1,1000000,1000000,0,1199,45163666,1202602962,22.379,41,42,1174.875,1041,2791,1199000000
async_protobuf,one_string_ten_int64,2,1000000,1000000,0,55,55593010,161337674,29.987,41,83,128.447,125,167,55000000
async_protobuf,one_string_ten_decimal_strings,2,1000000,1000000,0,219,52846879,290446915,25.975,41,42,260.298,250,292,219000000
async_protobuf,ten_strings_fifty_decimal_strings,2,1000000,1000000,0,1199,45324843,1049992506,22.502,41,42,1025.512,1000,1125,1199000000
async_protobuf,one_string_ten_int64,3,1000000,1000000,0,55,55954815,161742637,30.763,41,83,128.299,125,167,55000000
async_protobuf,one_string_ten_decimal_strings,3,1000000,1000000,0,219,52969022,292849155,26.155,41,83,262.449,250,292,219000000
async_protobuf,ten_strings_fifty_decimal_strings,3,1000000,1000000,0,1199,45475272,1072778236,22.462,41,42,1047.380,1000,1166,1199000000
async_protobuf,one_string_ten_int64,4,1000000,1000000,0,55,55218459,161368196,29.701,41,83,128.356,125,167,55000000
async_protobuf,one_string_ten_decimal_strings,4,1000000,1000000,0,219,52995139,301635188,25.985,41,42,270.716,250,292,219000000
async_protobuf,ten_strings_fifty_decimal_strings,4,1000000,1000000,0,1199,48532401,1090244697,24.254,41,42,1064.180,1042,1208,1199000000
async_protobuf,one_string_ten_int64,5,1000000,1000000,0,55,81397451,187142895,45.872,42,208,143.246,125,250,55000000
async_protobuf,one_string_ten_decimal_strings,5,1000000,1000000,0,219,54650400,315403570,26.911,41,42,280.693,250,625,219000000
async_protobuf,ten_strings_fifty_decimal_strings,5,1000000,1000000,0,1199,47089059,1203744109,23.418,41,42,1176.325,1042,2792,1199000000
async_protobuf,one_string_ten_int64,6,1000000,1000000,0,55,56186119,161946438,30.693,41,83,128.652,125,167,55000000
async_protobuf,one_string_ten_decimal_strings,6,1000000,1000000,0,219,52816555,292600462,26.023,41,42,262.315,250,292,219000000
