kind,library,codegen,api,test_case,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
protobuf,google_protobuf,speed,SerializeToString,ten_strings_fifty_decimal_strings,3,1000000,1193,1176965580.000,1176.966,849642.519,1193000000
protobuf,google_protobuf,speed,SerializeToString,ten_strings_fifty_decimal_strings,4,1000000,1193,1400023344.000,1400.023,714273.804,1193000000
protobuf,google_protobuf,speed,SerializeToString,ten_strings_fifty_decimal_strings,5,1000000,1193,1963281525.000,1963.282,509351.302,1193000000
protobuf,google_protobuf,speed,SerializeToString,ten_strings_fifty_decimal_strings,6,1000000,1193,2119874168.000,2119.874,471726.112,1193000000
protobuf,google_protobuf,speed,SerializeToString,ten_strings_fifty_decimal_strings,7,1000000,1193,1721624599.000,1721.625,580846.719,1193000000
protobuf,google_protobuf,speed,SerializeToString,ten_strings_fifty_decimal_strings,8,1000000,1193,1223343945.000,1223.344,817431.601,1193000000
protobuf,google_protobuf,speed,SerializeToString,ten_strings_fifty_decimal_strings,9,1000000,1193,1504368250.000,1504.368,664730.860,1193000000
protobuf,google_protobuf,speed,SerializeToString,ten_strings_fifty_decimal_strings,10,1000000,1193,1639819895.000,1639.820,609823.068,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,1,1000000,1193,1924761359.000,1924.761,519544.927,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,2,1000000,1193,1334170269.000,1334.170,749529.519,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,3,1000000,1193,1305584870.000,1305.585,765940.249,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,4,1000000,1193,1110362056.000,1110.362,900607.144,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,5,1000000,1193,1091556784.000,1091.557,916122.747,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,6,1000000,1193,1129456754.000,1129.457,885381.398,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,7,1000000,1193,1095303438.000,1095.303,912989.009,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,8,1000000,1193,1097688676.000,1097.689,911005.116,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,9,1000000,1193,1162905591.000,1162.906,859915.033,1193000000
protobuf,google_protobuf,speed,SerializeToArray_preallocated,ten_strings_fifty_decimal_strings,10,1000000,1193,1092348557.000,1092.349,915458.709,1193000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,1,1000000,49,2151906423.000,2151.906,464704.222,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,2,1000000,49,2152763073.000,2152.763,464519.302,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,3,1000000,49,2139732683.000,2139.733,467348.098,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,4,1000000,49,2138130884.000,2138.131,467698.216,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,5,1000000,49,2194393489.000,2194.393,455706.784,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,6,1000000,49,2165787756.000,2165.788,461725.761,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,7,1000000,49,2125512506.000,2125.513,470474.767,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,8,1000000,49,2129136573.000,2129.137,469673.957,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,9,1000000,49,2221267545.000,2221.268,450193.405,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_int64,10,1000000,49,2567689312.000,2567.689,389455.218,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,1,1000000,49,2133122401.000,2133.122,468796.352,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,2,1000000,49,2163795654.000,2163.796,462150.850,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,3,1000000,49,2140967011.000,2140.967,467078.659,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,4,1000000,49,2205859833.000,2205.860,453337.961,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,5,1000000,49,2134902163.000,2134.902,468405.540,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,6,1000000,49,2130311025.000,2130.311,469415.024,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,7,1000000,49,2170364143.000,2170.364,460752.175,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,8,1000000,49,2181093049.000,2181.093,458485.712,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,9,1000000,49,2263565647.000,2263.566,441780.870,49000000
protobuf,google_protobuf,code_size,SerializeToArray_preallocated,one_string_ten_int64,10,1000000,49,2162792124.000,2162.792,462365.286,49000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_decimal_strings,1,1000000,213,2407060502.000,2407.061,415444.481,213000000
protobuf,google_protobuf,code_size,SerializeToString,one_string_ten_decimal_strings,2,1000000,213,2407085093.000,2407.085,415440.236,213000000
