mode,threads,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
shared_buffer_mutex,4,1,1000000,49,395901689.000,395.902,2525879.600,49000000
shared_buffer_mutex,4,2,1000000,49,382394938.000,382.395,2615097.379,49000000
shared_buffer_mutex,4,3,1000000,49,402366825.000,402.367,2485294.358,49000000
shared_buffer_mutex,4,4,1000000,49,402395403.000,402.395,2485117.853,49000000
shared_buffer_mutex,4,5,1000000,49,401848545.000,401.849,2488499.741,49000000
shared_buffer_mutex,4,6,1000000,49,374922758.000,374.923,2667216.056,49000000
shared_buffer_mutex,4,7,1000000,49,397857657.000,397.858,2513461.743,49000000
shared_buffer_mutex,4,8,1000000,49,386514160.000,386.514,2587227.335,49000000
shared_buffer_mutex,4,9,1000000,49,384917595.000,384.918,2597958.662,49000000
shared_buffer_mutex,4,10,1000000,49,396776410.000,396.776,2520311.124,49000000
