mode,threads,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
thread_local,8,1,1000000,49,44443113.000,44.443,22500674.064,49000000
thread_local,8,2,1000000,49,44238520.000,44.239,22604734.516,49000000
thread_local,8,3,1000000,49,44114858.000,44.115,22668099.714,49000000
thread_local,8,4,1000000,49,44165377.000,44.165,22642170.585,49000000
thread_local,8,5,1000000,49,44203161.000,44.203,22622816.499,49000000
thread_local,8,6,1000000,49,43945368.000,43.945,22755526.817,49000000
thread_local,8,7,1000000,49,44623626.000,44.624,22409653.577,49000000
thread_local,8,8,1000000,49,44325831.000,44.326,22560208.741,49000000
thread_local,8,9,1000000,49,44212089.000,44.212,22618248.145,49000000
thread_local,8,10,1000000,49,44640793.000,44.641,22401035.752,49000000
