mode,threads,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
shared_readonly,1,1,1000000,49,58163872.000,58.164,17192803.120,49000000
shared_readonly,1,2,1000000,49,61098767.000,61.099,16366942.397,49000000
shared_readonly,1,3,1000000,49,63241396.000,63.241,15812427.670,49000000
shared_readonly,1,4,1000000,49,60542442.000,60.542,16517338.366,49000000
shared_readonly,1,5,1000000,49,62755201.000,62.755,15934934.222,49000000
shared_readonly,1,6,1000000,49,60185794.000,60.186,16615216.541,49000000
shared_readonly,1,7,1000000,49,58903371.000,58.903,16976957.057,49000000
shared_readonly,1,8,1000000,49,62116098.000,62.116,16098886.314,49000000
shared_readonly,1,9,1000000,49,61850322.000,61.850,16168064.574,49000000
shared_readonly,1,10,1000000,49,62035254.000,62.035,16119866.294,49000000
