mode,threads,repetition,iterations,bytes,elapsed_ns,ns_per_encode,encodes_per_second,checksum
shared_readonly,8,1,1000000,49,45520441.000,45.520,21968152.725,49000000
shared_readonly,8,2,1000000,49,45672234.000,45.672,21895140.930,49000000
shared_readonly,8,3,1000000,49,45063308.000,45.063,22191002.933,49000000
shared_readonly,8,4,1000000,49,45517859.000,45.518,21969398.868,49000000
shared_readonly,8,5,1000000,49,45245675.000,45.246,22101559.983,49000000
shared_readonly,8,6,1000000,49,45401616.000,45.402,22025647.721,49000000
shared_readonly,8,7,1000000,49,45497773.000,45.498,21979097.746,49000000
shared_readonly,8,8,1000000,49,45270497.000,45.270,22089441.607,49000000
shared_readonly,8,9,1000000,49,45132234.000,45.132,22157112.808,49000000
shared_readonly,8,10,1000000,49,45134777.000,45.135,22155864.424,49000000
